一,いち|ひと|かず|いつ|,One
変,へん|か|,Change|Strange
夫,ふう|ふ|おっと|,Husband
建,けん|た|,Build|Construct
昨,さく|,Previous|Yesterday
毒,どく|,Poison
法,ほう|,Method|Law
泣,きゅう|な|,Cry
浅,せん|あさ|,Shallow
紀,き|,Account|Narrative
英,えい|,England|English
軍,ぐん|,Army
飯,はん|めし|,Meal|Food
仏,ぶつ|ほとけ|,Buddha
築,ちく|きず|,Construct|Build
晩,ばん|,Night|Evening
猫,ねこ|,Cat
園,えん|,Garden|Park
曜,よう|,Weekday|Day Of The Week
書,しょ|か|,Write|Writing
遠,えん|とお|,Far
門,もん|,Gates|Gate
係,けい|かか|かかり|,Connection
取,しゅ|と|,Take
品,ひん|しな|,Product|Article|Goods|Products
守,す|しゅ|まも|もり|,Protect
幸,こう|しあわ|さいわ|さち|,Happiness
急,きゅう|いそ|,Hurry
真,しん|ま|,Reality
箱,はこ|,Box
荷,か|に|,Luggage
面,めん|おも|おもて|,Face|Surface
典,てん|,Rule
喜,き|よろこ|,Rejoice|Delighted|Pleased
府,ふ|,Government
治,じ|ち|なお|,Cure|Heal|Reign|Rule
浴,よく|あ|,Bathe
笑,しょう|わら|え|,Laugh
辞,じ|や|,Quit|Word
関,かん|かか|せき|,Related|Connected
保,ほ|たも|,Preserve|Guarantee
弁,べん|,Dialect|Speech
政,せい|,Politics|Government
留,る|りゅう|と|,Detain
証,しょう|あかし|,Evidence|Proof
険,けん|けわ|,Risky|Steep
危,き|あぶ|あや|,Dangerous
存,そん|ぞん|,Exist|Suppose
専,せん|もっぱ|,Specialty
冒,ぼう|おか|,Dare
冗,じょう|,Superfluous|Unnecessary|Uselessness
阪,はん|さか|,Heights|Slope
原,げん|はら|,Original|Fundamental|Field
細,さい|ほそ|こま|,Thin
薬,やく|くすり|,Medicine|Drug|Drugs
鼻,び|はな|,Nose
側,そく|がわ|そば|,Side
兵,へい|ひょう|,Soldier
堂,どう|,Hall|Public Chamber
塩,えん|しお|,Salt
席,せき|,Seat
敗,はい|やぶ|,Failure|Fail
果,か|くだ|は|,Fruit
栄,えい|さか|,Prosper|Flourish
梅,ばい|うめ|,Ume|Japanese Plum
無,む|ぶ|な|,Nothing
結,けつ|むす|ゆ|,Bind|Tie
因,いん|よ|,Cause
常,じょう|つね|,Ordinary|Normal|Usual
識,しき|,Discerning|Discriminating|Know
非,ひ|,Injustice|Negative|Mistake
干,かん|ほ|ひ|,Dry
是,ぜ|,Absolutely
渉,しょう|わた|,Ford
虚,きょ|こ|むな|,Void
官,かん|,Government
察,さつ|,Guess
底,てい|そこ|,Bottom
愛,あい|まな|,Love
署,しょ|,Government Office|Political Office|Office
警,けい|,Warn|Admonish
恋,れん|こい|,Romance
覚,かく|おぼ|さ|,Memorize|Awake
説,せつ|と|,Theory
幻,げん|まぼろし|,Illusion
訓,くん|よ|,Instruction
試,し|こころ|ため|,Try|Attempt
弓,きゅう|ゆみ|,Bow
告,こく|つ|,Announce
種,しゅ|たね|ぐさ|,Kind|Type
達,たつ|たち|,Attain|Plural
類,るい|たぐ|,Type|Category|Kind
報,ほう|むく|,News|Report
祈,き|いの|,Pray
等,とう|ひと|など|,Equal
汽,き|,Steam
借,しゃく|か|,Borrow
焼,しょう|や|,Bake|Cook|Burn
座,ざ|すわ|,Sit|Seat
忘,ぼう|わす|,Forget
洗,せん|あら|,Wash
胸,きょう|むね|,Chest|Breast
脳,のう|,Brain
僧,そう|,Priest|Monk
禅,ぜん|,Zen|Zen Buddhism
験,けん|ため|ためし|,Test
可,か|,Possible|Passable
許,きょ|ゆる|,Permit|Allow
枚,まい|,Flat Objects Counter|Flat Object|Counter For Flat Objects
静,せい|しず|,Quiet
句,く|,Paragraph
禁,きん|,Prohibit|Prohibition
喫,きつ|の|,Consume
煙,えん|けむ|けむり|,Smoke
